checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,previous_ended_rental_id_category,delay_status,delay_slices,time_delta,time_delta_cat,financial_cost
mobile,ended,-6.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins,,no lack of time between two rentals,0.0
mobile,ended,-18.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-62.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,210.0,,,no_rented_before or delay > 12 hours,delayed,2 hours < Delay <= 4 hours,,no lack of time between two rentals,0.0
mobile,ended,12.0,539751.0,0.0,rented_before,delayed,10 <= Delay <= 30 mins,-12.0,lack of time between two rentals,-1.008
mobile,ended,-24.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-5.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins,,no lack of time between two rentals,0.0
connect,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
connect,ended,90.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours,,no lack of time between two rentals,0.0
mobile,ended,15422.0,,,no_rented_before or delay > 12 hours,delayed,Delay > 4 hours,,no lack of time between two rentals,0.0
mobile,ended,-14.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins,,no lack of time between two rentals,0.0
mobile,ended,11.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-7.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins,,no lack of time between two rentals,0.0
mobile,ended,146.0,,,no_rented_before or delay > 12 hours,delayed,2 hours < Delay <= 4 hours,,no lack of time between two rentals,0.0
mobile,ended,-25.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,13.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins,,no lack of time between two rentals,0.0
mobile,ended,901.0,,,no_rented_before or delay > 12 hours,delayed,Delay > 4 hours,,no lack of time between two rentals,0.0
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,ended,52.0,,,no_rented_before or delay > 12 hours,delayed,30 mins < Delay <= 1 hour,,no lack of time between two rentals,0.0
mobile,ended,125.0,540607.0,0.0,rented_before,delayed,2 hours < Delay <= 4 hours,-125.0,lack of time between two rentals,-10.5
mobile,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,165.0,,,no_rented_before or delay > 12 hours,delayed,2 hours < Delay <= 4 hours,,no lack of time between two rentals,0.0
mobile,ended,-25.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,83.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours,,no lack of time between two rentals,0.0
mobile,ended,69.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours,,no lack of time between two rentals,0.0
mobile,ended,156.0,,,no_rented_before or delay > 12 hours,delayed,2 hours < Delay <= 4 hours,,no lack of time between two rentals,0.0
mobile,ended,-720.0,539897.0,30.0,rented_before,in advance,In advance > 30 mins,750.0,no lack of time between two rentals,0.0
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,ended,12.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins,,no lack of time between two rentals,0.0
mobile,ended,50.0,540444.0,180.0,rented_before,delayed,30 mins < Delay <= 1 hour,130.0,no lack of time between two rentals,0.0
mobile,ended,-7.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins,,no lack of time between two rentals,0.0
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,ended,183.0,,,no_rented_before or delay > 12 hours,delayed,2 hours < Delay <= 4 hours,,no lack of time between two rentals,0.0
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,ended,-170.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-36.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
connect,ended,-106.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,9.0,,,no_rented_before or delay > 12 hours,delayed,Delay <= 10 mins,,no lack of time between two rentals,0.0
mobile,ended,-21.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins,,no lack of time between two rentals,0.0
mobile,ended,64.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours,,no lack of time between two rentals,0.0
mobile,ended,23.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins,,no lack of time between two rentals,0.0
mobile,ended,14.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins,,no lack of time between two rentals,0.0
mobile,ended,5.0,,,no_rented_before or delay > 12 hours,delayed,Delay <= 10 mins,,no lack of time between two rentals,0.0
mobile,ended,300.0,,,no_rented_before or delay > 12 hours,delayed,Delay > 4 hours,,no lack of time between two rentals,0.0
mobile,ended,-18.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,12.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins,,no lack of time between two rentals,0.0
connect,ended,48.0,,,no_rented_before or delay > 12 hours,delayed,30 mins < Delay <= 1 hour,,no lack of time between two rentals,0.0
connect,ended,-9.0,552619.0,240.0,rented_before,in advance,Delay <= 10 mins,249.0,no lack of time between two rentals,0.0
mobile,ended,-57.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
connect,ended,-529.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,670.0,,,no_rented_before or delay > 12 hours,delayed,Delay > 4 hours,,no lack of time between two rentals,0.0
mobile,ended,-1087.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-53.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
connect,ended,64.0,540663.0,540.0,rented_before,delayed,1 hour < Delay <= 2 hours,476.0,no lack of time between two rentals,0.0
mobile,ended,2.0,,,no_rented_before or delay > 12 hours,delayed,Delay <= 10 mins,,no lack of time between two rentals,0.0
mobile,ended,24.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins,,no lack of time between two rentals,0.0
connect,canceled,,543010.0,210.0,rented_before,,No delay,,no lack of time between two rentals,
mobile,ended,55.0,,,no_rented_before or delay > 12 hours,delayed,30 mins < Delay <= 1 hour,,no lack of time between two rentals,0.0
mobile,ended,75.0,536315.0,60.0,rented_before,delayed,1 hour < Delay <= 2 hours,-15.0,lack of time between two rentals,-1.26
mobile,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-44.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
connect,ended,-244.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
connect,ended,337.0,,,no_rented_before or delay > 12 hours,delayed,Delay > 4 hours,,no lack of time between two rentals,0.0
connect,ended,39.0,,,no_rented_before or delay > 12 hours,delayed,30 mins < Delay <= 1 hour,,no lack of time between two rentals,0.0
mobile,ended,56.0,,,no_rented_before or delay > 12 hours,delayed,30 mins < Delay <= 1 hour,,no lack of time between two rentals,0.0
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,ended,31.0,,,no_rented_before or delay > 12 hours,delayed,30 mins < Delay <= 1 hour,,no lack of time between two rentals,0.0
mobile,ended,-23.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins,,no lack of time between two rentals,0.0
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,ended,233.0,,,no_rented_before or delay > 12 hours,delayed,2 hours < Delay <= 4 hours,,no lack of time between two rentals,0.0
connect,ended,50.0,,,no_rented_before or delay > 12 hours,delayed,30 mins < Delay <= 1 hour,,no lack of time between two rentals,0.0
mobile,ended,108.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours,,no lack of time between two rentals,0.0
mobile,ended,56.0,,,no_rented_before or delay > 12 hours,delayed,30 mins < Delay <= 1 hour,,no lack of time between two rentals,0.0
mobile,ended,-2.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins,,no lack of time between two rentals,0.0
connect,ended,74.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours,,no lack of time between two rentals,0.0
mobile,ended,-31.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,7.0,,,no_rented_before or delay > 12 hours,delayed,Delay <= 10 mins,,no lack of time between two rentals,0.0
connect,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,ended,302.0,,,no_rented_before or delay > 12 hours,delayed,Delay > 4 hours,,no lack of time between two rentals,0.0
connect,ended,-98.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,93.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours,,no lack of time between two rentals,0.0
mobile,ended,20.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins,,no lack of time between two rentals,0.0
