checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,delay_status,delay_slices
mobile,ended,216.0,no_rented_before,,delayed,Delay <= 4 hours
mobile,ended,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,28.0,no_rented_before,,delayed,10 <= Delay <= 30 mins
mobile,ended,-51.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,93.0,no_rented_before,,delayed,Delay <= 2 hours
mobile,ended,-196.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,9.0,no_rented_before,,delayed,Delay <= 10 mins
mobile,ended,-988.0,rented_before,720.0,in advance,In advance < 30 mins
mobile,ended,-6.0,no_rented_before,,in advance,Delay <= 10 mins
mobile,ended,-18.0,no_rented_before,,in advance,In advance < 15 mins
mobile,ended,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,-62.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,210.0,no_rented_before,,delayed,Delay <= 4 hours
mobile,ended,12.0,rented_before,0.0,delayed,Delay <= 10 mins
mobile,ended,-24.0,no_rented_before,,in advance,In advance < 15 mins
mobile,ended,-5.0,no_rented_before,,in advance,Delay <= 10 mins
connect,canceled,,no_rented_before,,in time,Delay > 4 hours
connect,ended,90.0,no_rented_before,,delayed,Delay <= 2 hours
mobile,ended,15422.0,no_rented_before,,delayed,Delay > 4 hours
mobile,ended,-14.0,no_rented_before,,in advance,Delay <= 10 mins
mobile,ended,11.0,no_rented_before,,delayed,Delay <= 10 mins
mobile,ended,-7.0,no_rented_before,,in advance,Delay <= 10 mins
mobile,ended,146.0,no_rented_before,,delayed,Delay <= 4 hours
mobile,ended,-25.0,no_rented_before,,in advance,In advance < 15 mins
mobile,ended,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,13.0,no_rented_before,,delayed,Delay <= 10 mins
mobile,ended,901.0,no_rented_before,,delayed,Delay > 4 hours
mobile,canceled,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,52.0,no_rented_before,,delayed,Delay <= 1 hour
mobile,ended,125.0,rented_before,0.0,delayed,Delay <= 4 hours
mobile,ended,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,165.0,no_rented_before,,delayed,Delay <= 4 hours
mobile,ended,-25.0,no_rented_before,,in advance,In advance < 15 mins
mobile,ended,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,83.0,no_rented_before,,delayed,Delay <= 2 hours
mobile,ended,69.0,no_rented_before,,delayed,Delay <= 2 hours
mobile,ended,156.0,no_rented_before,,delayed,Delay <= 4 hours
mobile,ended,,rented_before,30.0,in time,Delay > 4 hours
mobile,canceled,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,12.0,no_rented_before,,delayed,Delay <= 10 mins
mobile,ended,50.0,rented_before,180.0,delayed,Delay <= 1 hour
mobile,ended,-7.0,no_rented_before,,in advance,Delay <= 10 mins
mobile,canceled,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,183.0,no_rented_before,,delayed,Delay <= 4 hours
mobile,canceled,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,-170.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,-36.0,no_rented_before,,in advance,In advance < 30 mins
connect,ended,-106.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,9.0,no_rented_before,,delayed,Delay <= 10 mins
mobile,ended,-21.0,no_rented_before,,in advance,In advance < 15 mins
mobile,ended,64.0,no_rented_before,,delayed,Delay <= 2 hours
mobile,ended,23.0,no_rented_before,,delayed,10 <= Delay <= 30 mins
mobile,ended,14.0,no_rented_before,,delayed,Delay <= 10 mins
mobile,ended,5.0,no_rented_before,,delayed,Delay <= 10 mins
mobile,ended,300.0,no_rented_before,,delayed,Delay > 4 hours
mobile,ended,-18.0,no_rented_before,,in advance,In advance < 15 mins
mobile,ended,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,12.0,no_rented_before,,delayed,Delay <= 10 mins
connect,ended,48.0,no_rented_before,,delayed,Delay <= 1 hour
connect,ended,-9.0,rented_before,240.0,in advance,Delay <= 10 mins
mobile,ended,-57.0,no_rented_before,,in advance,In advance < 30 mins
connect,ended,-529.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,670.0,no_rented_before,,delayed,Delay > 4 hours
mobile,ended,-1087.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,-53.0,no_rented_before,,in advance,In advance < 30 mins
connect,ended,64.0,rented_before,540.0,delayed,Delay <= 2 hours
mobile,ended,2.0,no_rented_before,,delayed,Delay <= 10 mins
mobile,ended,24.0,no_rented_before,,delayed,10 <= Delay <= 30 mins
connect,canceled,,rented_before,210.0,in time,Delay > 4 hours
mobile,ended,55.0,no_rented_before,,delayed,Delay <= 1 hour
mobile,ended,75.0,rented_before,60.0,delayed,Delay <= 2 hours
mobile,ended,,no_rented_before,,in time,Delay > 4 hours
