checkin_type,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes
mobile,6.0,no_rented_before,
connect,-102.0,rented_before,30.0
mobile,-232.0,no_rented_before,
connect,-22.0,no_rented_before,
mobile,322.0,no_rented_before,
mobile,31.0,no_rented_before,
mobile,63.0,no_rented_before,
mobile,10.0,no_rented_before,
connect,40.0,no_rented_before,
mobile,20.0,no_rented_before,
mobile,5.0,no_rented_before,
mobile,7.0,no_rented_before,
mobile,-1.0,no_rented_before,
mobile,24.0,rented_before,150.0
mobile,170.0,no_rented_before,
connect,-20.0,no_rented_before,
mobile,-3.0,no_rented_before,
mobile,-36.0,no_rented_before,
connect,-29.0,no_rented_before,
mobile,1.0,no_rented_before,
connect,11.0,no_rented_before,
mobile,-148.0,no_rented_before,
mobile,37.0,no_rented_before,
connect,-37.0,no_rented_before,
mobile,358.0,no_rented_before,
mobile,-5.0,no_rented_before,
mobile,17.0,rented_before,720.0
mobile,-72.0,no_rented_before,
mobile,161.0,no_rented_before,
mobile,146.0,no_rented_before,
mobile,-919.0,no_rented_before,
connect,-95.0,no_rented_before,
mobile,19.0,no_rented_before,
mobile,-26.0,no_rented_before,
mobile,58.0,no_rented_before,
mobile,21.0,no_rented_before,
connect,-1019.0,no_rented_before,
mobile,181.0,no_rented_before,
mobile,14.0,no_rented_before,
mobile,8.0,no_rented_before,
mobile,77.0,no_rented_before,
mobile,-12.0,no_rented_before,
mobile,-581.0,no_rented_before,
mobile,59.0,no_rented_before,
mobile,98.0,no_rented_before,
mobile,23.0,no_rented_before,
mobile,14.0,no_rented_before,
mobile,7.0,no_rented_before,
mobile,-16.0,no_rented_before,
mobile,55.0,no_rented_before,
mobile,101.0,no_rented_before,
mobile,47.0,no_rented_before,
mobile,21.0,no_rented_before,
mobile,-85.0,no_rented_before,
mobile,15.0,rented_before,480.0
mobile,122.0,no_rented_before,
mobile,996.0,no_rented_before,
mobile,67.0,no_rented_before,
mobile,-4.0,no_rented_before,
mobile,-25.0,no_rented_before,
connect,-40.0,rented_before,180.0
connect,-4.0,rented_before,600.0
mobile,173.0,no_rented_before,
