checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,previous_ended_rental_id_category,delay_status,delay_slices
mobile,ended,-57.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
connect,ended,-529.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,670.0,,,no_rented_before or delay > 12 hours,delayed,Delay > 4 hours
mobile,ended,-1087.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,-53.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
connect,ended,64.0,540663.0,540.0,rented_before,delayed,1 hour < Delay <= 2 hours
mobile,ended,2.0,,,no_rented_before or delay > 12 hours,delayed,Delay <= 10 mins
mobile,ended,24.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins
connect,canceled,,543010.0,210.0,rented_before,,No delay
mobile,ended,55.0,,,no_rented_before or delay > 12 hours,delayed,30 mins < Delay <= 1 hour
mobile,ended,75.0,536315.0,60.0,rented_before,delayed,1 hour < Delay <= 2 hours
mobile,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,-44.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
connect,ended,-244.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
connect,ended,337.0,,,no_rented_before or delay > 12 hours,delayed,Delay > 4 hours
connect,ended,39.0,,,no_rented_before or delay > 12 hours,delayed,30 mins < Delay <= 1 hour
mobile,ended,56.0,,,no_rented_before or delay > 12 hours,delayed,30 mins < Delay <= 1 hour
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay
mobile,ended,31.0,,,no_rented_before or delay > 12 hours,delayed,30 mins < Delay <= 1 hour
mobile,ended,-23.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 15 mins
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay
